pdf_path,status,elapsed_seconds,n_chunks_word_count,form_type,company_name_mismatch,n_chunks_numeric_dense,error
../downolad_files\data/nasdaq_annual_reports/a-mark-precious-metals/NASDAQ_AMRK_2018.pdf,ok,100.5,175,10-K,False,55,
../downolad_files\data/nasdaq_annual_reports/a-mark-precious-metals/NASDAQ_AMRK_2017.pdf,ok,104.7,180,10-K,False,47,
../downolad_files\data/nasdaq_annual_reports/abeona-therapeutics-inc/NASDAQ_ABEO_2019.pdf,ok,54.1,180,10-K,False,29,
../downolad_files\data/nasdaq_annual_reports/abeona-therapeutics-inc/NASDAQ_ABEO_2020.pdf,ok,57.9,199,10-K,False,18,
../downolad_files\data/nasdaq_annual_reports/abiomed-inc/NASDAQ_ABMD_2019.pdf,ok,40.6,147,10-K,False,19,
../downolad_files\data/nasdaq_annual_reports/abiomed-inc/NASDAQ_ABMD_2020.pdf,ok,28.9,159,10-K,False,18,
../downolad_files\data/nasdaq_annual_reports/abeona-therapeutics-inc/NASDAQ_ABEO_2022.pdf,ok,69.8,231,10-K,False,21,
../downolad_files\data/nasdaq_annual_reports/abiomed-inc/NASDAQ_ABMD_2021.pdf,ok,35.5,180,10-K,False,30,
../downolad_files\data/nasdaq_annual_reports/abiomed-inc/NASDAQ_ABMD_2018.pdf,ok,76.6,149,10-K,False,20,
../downolad_files\data/nasdaq_annual_reports/abeona-therapeutics-inc/NASDAQ_ABEO_2021.pdf,ok,84.9,293,10-K,False,34,
../downolad_files\data/nasdaq_annual_reports/abraxas-petroleum-corp-1/NASDAQ_AXAS_2017.pdf,ok,29.4,164,10-K,False,30,
../downolad_files\data/nasdaq_annual_reports/abraxas-petroleum-corp-1/NASDAQ_AXAS_2018.pdf,ok,32.9,168,10-K,False,28,
../downolad_files\data/nasdaq_annual_reports/abraxas-petroleum-corp-1/NASDAQ_AXAS_2021.pdf,ok,25.6,162,10-K,False,17,
../downolad_files\data/nasdaq_annual_reports/ac-immune/NASDAQ_ACIU_2022.pdf,ok,22.8,137,,,38,
../downolad_files\data/nasdaq_annual_reports/ac-immune/NASDAQ_ACIU_2021.pdf,ok,27.7,100,,,36,
../downolad_files\data/nasdaq_annual_reports/abraxas-petroleum-corp-1/NASDAQ_AXAS_2016.pdf,ok,85.6,193,10-K,False,49,
../downolad_files\data/nasdaq_annual_reports/acacia-communications-inc/NASDAQ_ACIA%20_2017.pdf,ok,19.2,189,10-K,False,40,
../downolad_files\data/nasdaq_annual_reports/acacia-communications-inc/NASDAQ_ACIA%20_2016.pdf,ok,49.0,175,10-K,,38,
../downolad_files\data/nasdaq_annual_reports/ac-immune/NASDAQ_ACIU_2019.pdf,ok,116.4,367,20-F,False,38,
