pdf_path,company,registrant_name,company_name_mismatch,error
../downolad_files/data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2019.pdf,Paratek-Pharmaceuticals,"PARATEK PHARMACEUTICALS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2018.pdf,T2-biosystems,"T2 Biosystems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2016.pdf,T2-biosystems,"T2 Biosys tems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2017.pdf,T2-biosystems,"T2 Biosystems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2019.pdf,T2-biosystems,"T2 Biosystems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2020.pdf,Tile-shop-holdings,"TILE SHOP HOLDINGS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2020.pdf,T2-biosystems,"T2 Biosystems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2021.pdf,Tile-shop-holdings,"TILE SHOP HOLDINGS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2018.pdf,Tile-shop-holdings,"TILE SHOP HOLDINGS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2019.pdf,Tile-shop-holdings,"TILE SHOP HOLDINGS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2020.pdf,a-mark-precious-metals,"A-MARK PRECIOUS METALS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2017.pdf,a-mark-precious-metals,"A-MARK PRECIOUS METALS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2019.pdf,a-mark-precious-metals,"A-MARK PRECIOUS METALS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2018.pdf,a-mark-precious-metals,"A-MARK PRECIOUS METALS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\aaon-inc\NASDAQ_AAON_2019.pdf,aaon-inc,,,
