path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\acacia-communications-inc\NASDAQ_ACIA%20_2018.pdf,,,,,Stream has ended unexpectedly
data/nasdaq_annual_reports\acacia-communications-inc\NASDAQ_ACIA_2019.pdf,118,69716,1647,1394,
data/nasdaq_annual_reports\acacia-research-corporation\NASDAQ_ACTG_2019.pdf,134,78290,3146,1565,
data/nasdaq_annual_reports\acacia-research-corporation\NASDAQ_ACTG_2020.pdf,92,48085,945,961,
data/nasdaq_annual_reports\acacia-research-corporation\NASDAQ_ACTG_2021.pdf,110,58078,110,1161,
data/nasdaq_annual_reports\acacia-research-corporation\NASDAQ_ACTG_2022.pdf,129,72593,129,1451,
data/nasdaq_annual_reports\acadia-healthcare-co\NASDAQ_ACHC_2019.pdf,131,77516,456,1550,
data/nasdaq_annual_reports\acadia-healthcare-co\NASDAQ_ACHC_2020.pdf,116,21146,116,422,
data/nasdaq_annual_reports\acadia-healthcare-co\NASDAQ_ACHC_2021.pdf,114,66337,354,1326,
data/nasdaq_annual_reports\acadia-healthcare-co\NASDAQ_ACHC_2022.pdf,110,63485,382,1269,
data/nasdaq_annual_reports\acadia-pharmaceuticals\NASDAQ_ACAD_2018.pdf,106,63518,116,1270,
data/nasdaq_annual_reports\acadia-pharmaceuticals\NASDAQ_ACAD_2019.pdf,106,64729,105,1294,
data/nasdaq_annual_reports\acadia-pharmaceuticals\NASDAQ_ACAD_2020.pdf,118,72684,142,1453,
data/nasdaq_annual_reports\acadia-pharmaceuticals\NASDAQ_ACAD_2021.pdf,114,71722,114,1434,
data/nasdaq_annual_reports\accelerate-diagnostics-inc\NASDAQ_AXDX_2019.pdf,120,65553,151,1311,
data/nasdaq_annual_reports\accelerate-diagnostics-inc\NASDAQ_AXDX_2020.pdf,105,56216,106,1124,
data/nasdaq_annual_reports\accelerate-diagnostics-inc\NASDAQ_AXDX_2021.pdf,113,64284,112,1285,
data/nasdaq_annual_reports\accelerate-diagnostics-inc\NASDAQ_AXDX_2022.pdf,131,74409,131,1488,
data/nasdaq_annual_reports\acceleron-pharma-inc\NASDAQ_XLRN_2017.pdf,114,7082,114,141,
data/nasdaq_annual_reports\acceleron-pharma-inc\NASDAQ_XLRN_2018.pdf,114,69387,142,1387,
data/nasdaq_annual_reports\acceleron-pharma-inc\NASDAQ_XLRN_2019.pdf,122,13588,128,271,
data/nasdaq_annual_reports\acceleron-pharma-inc\NASDAQ_XLRN_2020.pdf,122,19632,143,392,
data/nasdaq_annual_reports\accuray-incorporated\NASDAQ_ARAY_2019.pdf,132,73390,196,1467,
data/nasdaq_annual_reports\accuray-incorporated\NASDAQ_ARAY_2020.pdf,144,81319,425,1626,
data/nasdaq_annual_reports\accuray-incorporated\NASDAQ_ARAY_2021.pdf,156,91335,413,1826,
data/nasdaq_annual_reports\accuray-incorporated\NASDAQ_ARAY_2022.pdf,261,145154,761,2903,
data/nasdaq_annual_reports\acelrx-pharmaceuticals\NASDAQ_ACRX_2017.pdf,125,84926,3458,1698,
data/nasdaq_annual_reports\acelrx-pharmaceuticals\NASDAQ_ACRX_2018.pdf,144,93299,3936,1865,
data/nasdaq_annual_reports\acelrx-pharmaceuticals\NASDAQ_ACRX_2019.pdf,129,81962,1569,1639,
data/nasdaq_annual_reports\acelrx-pharmaceuticals\NASDAQ_ACRX_2020.pdf,122,79998,1536,1599,
data/nasdaq_annual_reports\acelrx-pharmaceuticals\NASDAQ_ACRX_2021.pdf,134,86638,1611,1732,
data/nasdaq_annual_reports\acer-therapeutics-inc\NASDAQ_ACER_2019.pdf,177,94877,1547,1897,
data/nasdaq_annual_reports\acer-therapeutics-inc\NASDAQ_ACER_2020.pdf,165,90907,1552,1818,
data/nasdaq_annual_reports\acer-therapeutics-inc\NASDAQ_ACER_2021.pdf,163,95726,1662,1914,
data/nasdaq_annual_reports\acer-therapeutics-inc\NASDAQ_ACER_2022.pdf,170,107507,4761,2150,
data/nasdaq_annual_reports\aceto-corp\NASDAQ_ACET_2015.pdf,95,52821,1088,1056,
data/nasdaq_annual_reports\aceto-corp\NASDAQ_ACET_2016.pdf,97,56681,1238,1133,
data/nasdaq_annual_reports\aceto-corp\NASDAQ_ACET_2017.pdf,110,62396,3276,1247,
data/nasdaq_annual_reports\aceto-corp\NASDAQ_ACET_2018.pdf,125,74734,3498,1494,
data/nasdaq_annual_reports\achieve-life-sciences-inc\NASDAQ_ACHV_2017.pdf,177,98445,813,1968,
data/nasdaq_annual_reports\achieve-life-sciences-inc\NASDAQ_ACHV_2018.pdf,145,86022,515,1720,
data/nasdaq_annual_reports\achieve-life-sciences-inc\NASDAQ_ACHV_2019.pdf,111,66254,726,1325,
data/nasdaq_annual_reports\achieve-life-sciences-inc\NASDAQ_ACHV_2020.pdf,102,59389,2560,1187,
data/nasdaq_annual_reports\achieve-life-sciences-inc\NASDAQ_ACHV_2021.pdf,108,66220,2451,1324,
data/nasdaq_annual_reports\achillion-pharmaceuticals-inc\NASDAQ_ACHN_2015.pdf,133,70436,134,1408,
data/nasdaq_annual_reports\achillion-pharmaceuticals-inc\NASDAQ_ACHN_2016.pdf,138,73672,138,1473,
data/nasdaq_annual_reports\achillion-pharmaceuticals-inc\NASDAQ_ACHN_2017.pdf,144,76418,143,1528,
data/nasdaq_annual_reports\achillion-pharmaceuticals-inc\NASDAQ_ACHN_2018.pdf,144,80762,144,1615,
data/nasdaq_annual_reports\aci-worldwide-inc\NASDAQ_ACIW_2019.pdf,100,54300,656,1085,
data/nasdaq_annual_reports\aci-worldwide-inc\NASDAQ_ACIW_2020.pdf,101,58185,112,1163,
